season,episode,name,description,rating,airdate,link
7,13,The Dark Cloud,"Following the release of the Vampire King's Vampuric essence, Finn, Jake, and Princess Bubblegum are forced into a fight against the seemingly unstoppable force without the aid of a depressed Marceline.",9.2,1447887600,http://www.imdb.com//title/tt5202932/?ref_=ttep_ep13
7,14,The More You Moe,"On BMO's birthday, Moe comes to visit and give BMO a special birthday mission. But while BMO is away, Moe begins to overstay his welcome at the tree house.",8.0,1449097200,http://www.imdb.com//title/tt5252828/?ref_=ttep_ep14
7,15,The Moe You Know,BMO continues its quest to adulthood. It'll discover that something went wrong in the factory where all the MOs where created.,8.6,1449097200,http://www.imdb.com//title/tt5253278/?ref_=ttep_ep15
7,16,Summer Showers,"Jake's Daughter, Viola helps LSP with her play, Summer Showers.",7.4,1452121200,http://www.imdb.com//title/tt5318284/?ref_=ttep_ep16
7,17,Angel Face,BMO creates a live action role-play bounty mission and sets out with Jake as his steed to capture the infamous 'Jack Rabbit Johnson'.,7.7,1452466800,http://www.imdb.com//title/tt5328198/?ref_=ttep_ep17
7,18,President Porpoise Is Missing!,"When Jakes video chat buddy goes missing, he must go look for him with Finn in Banana Man's submarine",7.1,1452553200,http://www.imdb.com//title/tt5337548/?ref_=ttep_ep18
7,19,Blank Eyed Girl,"A radio program broadcasts the most strange new, a blank eyed girl is going around scaring the inhabitants of Kandy Kingdom. Beware of the Blank Eyed Girl, it's coming for you.",8.4,1452639600,http://www.imdb.com//title/tt5320452/?ref_=ttep_ep19
7,20,Bad Jubies,"Finn, Jake, LSP and BMO must content with some deadly weather.",8.2,1452726000,http://www.imdb.com//title/tt5337584/?ref_=ttep_ep20
7,21,A King's Ransom,Ice King suffers a heartbreaking loss and it's up to Finn and Jake to find the culprit.,8.5,1452812400,http://www.imdb.com//title/tt5320450/?ref_=ttep_ep21
7,22,Scamps,A King's Ransom: Ice King suffers a heartbreaking loss and it's up to Finn and Jake to find the culprit. / Scamps: Finn takes a group of at-risk Candy Kingdom youth on a camping trip they'll never forget.,7.5,1453330800,http://www.imdb.com//title/tt5337586/?ref_=ttep_ep22
7,23,Crossover,"Due to a wish Finn asked Prismo to make, a while back Finn must now stop himself from another dimension along with a previous villian, from destroying the entire multiverse",8.9,1453935600,http://www.imdb.com//title/tt5337588/?ref_=ttep_ep23
7,24,Hall of Egress,Finn enters a mysterious dungeon and struggles to find a way out and back to Jake.,9.1,1457132400,http://www.imdb.com//title/tt5490178/?ref_=ttep_ep24
7,25,Flute Spell,"With it being rumoured that Finn is seeing someone new, Jake endeavours to find out who.",8.4,1457737200,http://www.imdb.com//title/tt5509092/?ref_=ttep_ep25
7,26,The Thin Yellow Line,Flute Spell: Jake learns that Finn's been having clandestine meetings with a powerful wizard. But what are they up to? / The Thin Yellow Line: Finn and Jake infiltrate the Banana Guard ranks and stumble upon a conspiracy.,7.9,1458342000,http://www.imdb.com//title/tt5526410/?ref_=ttep_ep26
7,27,Broke His Crown,Ice King has some problems with his crown. Princess Bubblegum helps along with Marceline.,9.0,1458946800,http://www.imdb.com//title/tt5575862/?ref_=ttep_ep27
7,28,Don't Look,"At the library, Finn learns of a mountain with treasure possessing transformative properties at its peak. He and Jake venture to find the treasure, but find more than they expected when they encounter the hermit guarding the treasure.",8.3,1459548000,http://www.imdb.com//title/tt5571800/?ref_=ttep_ep28
7,29,Beyond the Grotto,"Beyond the Grotto: In pursuit of a runaway Sea Lard, Finn and Jake are led down a whirlpool to a curious new land. / Lady Rainicorn of the Crystal Dimension: Jake's son TV finds a hidden ...
                    See full summary »",7.7,1460152800,http://www.imdb.com//title/tt5597954/?ref_=ttep_ep29
7,30,Lady Rainicorn of the Crystal Dimension,"T.V., still living with his mother, discovers a magical object and without knowing, attracts Lee - a rainicorn from the Crystal Dimension, which reveals an important part of Lady Rainicorn's past.",7.7,1460757600,http://www.imdb.com//title/tt5709708/?ref_=ttep_ep30
7,31,I Am a Sword,"Fin loses his Fin-Sword and he needs to get it back ASAP, because someone is using it to cause terror and rampage.",8.1,1461362400,http://www.imdb.com//title/tt5622154/?ref_=ttep_ep31
7,32,Bun Bun,"Princess Bubblegum feels sad that Cinnamon Bun is the only candy person in the Flame Kingdom, so she creates Bun Bun, a tiny cinnamon bun, to keep him company.",7.9,1462399200,http://www.imdb.com//title/tt5700380/?ref_=ttep_ep32
7,33,Normal Man,"Stripped of his magic powers, Normal Man enlists Finn and Jake's help to rescue his brother Glob.",8.1,1463004000,http://www.imdb.com//title/tt5654832/?ref_=ttep_ep33
7,34,Elemental,"Normal Man: Stripped of his magic powers, Normal Man enlists Finn and Jake's help to rescue his brother Glob. / Elemental: Ice King discovers something buried deep beneath the Ice Kingdom that could change Ooo forever.",8.1,1463608800,http://www.imdb.com//title/tt5698406/?ref_=ttep_ep34
7,35,Five Short Tables,Fionna and cake go on an adventure to push the art of cake to another level,7.4,1464213600,http://www.imdb.com//title/tt5719330/?ref_=ttep_ep35
7,36,The Music Hole,"Finn gets to be the judge of battle of the bands held in the Candy Kingdom, when he starts to hear music that nobody else can.",8.6,1466632800,http://www.imdb.com//title/tt5723378/?ref_=ttep_ep36
7,37,Daddy-Daughter Card Wars,"The Music Hole: While judging the hugest Battle of the Bands in the history of Ooo, Finn hears a mysterious new song. / Daddy-Daughter Card Wars: To put his embarrassing past behind him, ...
                    See full summary »",7.8,1467842400,http://www.imdb.com//title/tt5723376/?ref_=ttep_ep37
7,38,Preboot,"While searching for old human artifacts, Jake, Finn, and Susan Strong meet Tiffany, who is employed by a mysterious Doctor Gross.",7.9,1479510000,http://www.imdb.com//title/tt6186784/?ref_=ttep_ep38
7,39,Reboot,"After Susan Strong's chip is activated, she goes rogue and attacks Finn.",8.4,1479510000,http://www.imdb.com//title/tt6186786/?ref_=ttep_ep39
